,LotFrontage,LotArea,Street,Alley,OverallQual,OverallCond,YearBuilt,YearRemodAdd,ExterQual,GrLivArea,ExterCond,SalePrice
66,none,19900,Pave,none,7,5,1970,1989,2,2207,TA,180000
67,72.0,10665,Pave,none,7,5,2003,2003,3,1479,TA,226000
68,47.0,4608,Pave,none,4,6,1945,1950,2,747,Gd,80000
69,81.0,15593,Pave,none,7,4,1953,1953,3,2287,TA,225000
70,95.0,13651,Pave,none,7,6,1973,1973,2,2223,Gd,244000
71,69.0,7599,Pave,none,4,6,1982,2006,2,845,TA,129500
72,74.0,10141,Pave,none,7,5,1998,1998,2,1718,TA,185000
73,85.0,10200,Pave,none,5,7,1954,2003,2,1086,TA,144900
74,60.0,5790,Pave,none,3,6,1915,1950,3,1605,Gd,107400
75,21.0,1596,Pave,none,4,5,1973,1973,2,988,TA,91000
76,none,8475,Pave,none,4,7,1956,1956,2,952,TA,135750
77,50.0,8635,Pave,none,5,5,1948,2001,2,1285,TA,127000
78,72.0,10778,Pave,none,4,5,1968,1968,2,1768,TA,136500
79,60.0,10440,Pave,Grvl,5,6,1910,1981,2,1230,TA,110000
80,100.0,13000,Pave,none,6,6,1968,1968,2,2142,Gd,193500
81,32.0,4500,Pave,none,6,5,1998,1998,2,1337,Gd,153500
82,78.0,10206,Pave,none,8,5,2007,2007,2,1563,TA,245000
83,80.0,8892,Pave,none,5,5,1960,1960,2,1065,TA,126500
84,none,8530,Pave,none,7,5,1995,1996,2,1474,TA,168500
85,121.0,16059,Pave,none,8,5,1991,1992,3,2417,TA,260000
86,122.0,11911,Pave,none,6,5,2005,2005,3,1560,TA,174000
87,40.0,3951,Pave,Pave,6,5,2009,2009,3,1224,TA,164500
88,105.0,8470,Pave,none,3,2,1915,1982,1,1526,Fa,85000
89,60.0,8070,Pave,none,4,5,1994,1995,2,990,TA,123600
90,60.0,7200,Pave,none,4,5,1950,1950,2,1040,TA,109900
91,85.0,8500,Pave,none,5,3,1961,1961,2,1235,TA,98600
92,80.0,13360,Pave,Grvl,5,7,1921,2006,2,964,Gd,163500
93,60.0,7200,Pave,none,6,6,1910,1998,2,2291,TA,133900
94,69.0,9337,Pave,none,6,5,1997,1997,2,1786,Gd,204750
95,none,9765,Pave,none,6,8,1993,1993,4,1470,Gd,185000
96,78.0,10264,Pave,none,7,5,1999,1999,3,1588,TA,214000
97,73.0,10921,Pave,none,4,5,1965,1965,2,960,TA,94750
98,85.0,10625,Pave,none,5,5,1920,1950,2,835,TA,83000
99,77.0,9320,Pave,none,4,5,1959,1959,2,1225,TA,128950
100,none,10603,Pave,none,6,7,1977,2001,2,1610,TA,205000
101,77.0,9206,Pave,none,6,5,1985,1985,3,1732,TA,178000
102,64.0,7018,Pave,none,5,5,1979,1979,2,1535,Fa,118964
103,94.0,10402,Pave,none,7,5,2009,2009,2,1226,TA,198900
104,none,7758,Pave,none,7,4,1931,1950,2,1818,Fa,169500
105,75.0,9375,Pave,none,8,5,2003,2004,3,1992,TA,250000
106,60.0,10800,Pave,Grvl,4,7,1885,1995,2,1047,TA,100000
107,50.0,6000,Pave,none,5,5,1948,1950,2,789,TA,115000
108,85.0,8500,Pave,none,5,7,1919,2005,2,1517,TA,115000
109,105.0,11751,Pave,none,6,6,1977,1977,2,1844,TA,190000
110,75.0,9525,Pave,none,6,4,1954,1972,2,1855,TA,136900
111,none,7750,Pave,none,7,5,2000,2000,2,1430,TA,180000
112,77.0,9965,Pave,none,7,5,2007,2007,3,2696,TA,383970
113,none,21000,Pave,none,6,5,1953,1953,2,2259,Gd,217000
114,61.0,7259,Pave,none,6,8,1945,2002,2,2320,TA,259500
115,34.0,3230,Pave,Pave,6,5,1999,1999,2,1458,TA,176000
116,none,11616,Pave,none,5,5,1962,1962,2,1092,TA,139000
117,74.0,8536,Pave,none,5,5,2006,2007,2,1125,TA,155000
118,90.0,12376,Pave,none,7,5,1990,1990,2,3222,TA,320000
119,65.0,8461,Pave,none,6,5,2005,2006,3,1456,TA,163990
120,none,21453,Pave,none,6,5,1969,1969,2,988,TA,180000
121,50.0,6060,Pave,none,4,5,1939,1950,2,1123,TA,100000
122,75.0,9464,Pave,none,6,7,1958,1958,2,1080,Gd,136000
123,55.0,7892,Pave,none,6,5,1993,1993,3,1199,TA,153900
124,48.0,17043,Pave,none,6,5,1979,1998,2,1586,Gd,181000
125,60.0,6780,Pave,none,6,8,1935,1982,2,754,Fa,84500
126,none,4928,Pave,none,6,5,1976,1976,2,958,TA,128000
127,55.0,4388,Pave,none,5,7,1930,1950,2,840,Gd,87000
128,69.0,7590,Pave,none,6,5,1966,1966,2,1348,TA,155000
129,69.0,8973,Pave,none,5,7,1958,1991,2,1053,TA,150000
130,88.0,14200,Pave,none,7,6,1966,1966,2,2157,TA,226000
131,none,12224,Pave,none,6,5,2000,2000,3,2054,TA,244000
132,75.0,7388,Pave,none,5,6,1959,2002,2,1327,TA,150750
133,none,6853,Pave,none,8,5,2001,2002,3,1296,TA,220000
134,78.0,10335,Pave,none,5,6,1968,1993,2,1721,TA,180000
135,80.0,10400,Pave,none,7,6,1970,1970,2,1682,TA,174000
136,none,10355,Pave,none,5,5,1967,1967,2,1214,TA,143000
137,82.0,11070,Pave,none,7,5,1988,1989,2,1959,TA,171000
138,73.0,9066,Pave,none,8,5,1999,2000,3,1852,TA,230000
139,65.0,15426,Pave,none,6,5,1997,1997,2,1764,TA,231500
140,70.0,10500,Pave,none,4,5,1971,1971,2,864,TA,115000
141,78.0,11645,Pave,none,7,5,2005,2005,3,1734,TA,260000
142,71.0,8520,Pave,none,5,4,1952,1952,2,1385,Fa,166000
143,78.0,10335,Pave,none,7,5,1999,1999,3,1501,TA,204000
144,70.0,9100,Pave,none,5,5,1963,1963,2,1728,TA,125000
145,24.0,2522,Pave,none,6,5,2004,2006,3,1709,TA,130000
146,51.0,6120,Pave,none,5,7,1931,1993,2,875,TA,105000
147,none,9505,Pave,none,7,5,2001,2001,3,2035,TA,222500
148,63.0,7500,Pave,none,7,5,2004,2005,2,1080,TA,141000
149,none,6240,Pave,none,5,4,1936,1950,2,1344,TA,115000
150,120.0,10356,Pave,none,5,6,1975,1975,2,969,TA,122000
151,107.0,13891,Pave,none,8,5,2007,2008,3,1710,TA,372402
152,none,14803,Pave,none,6,5,1971,1971,2,1993,TA,190000
153,none,13500,Pave,none,6,7,1960,1975,2,1252,TA,235000
154,84.0,11340,Pave,none,6,5,1923,1950,2,1200,TA,125000
155,60.0,9600,Pave,none,6,5,1924,1950,2,1096,TA,79000
156,60.0,7200,Pave,none,5,7,1950,1950,2,1040,TA,109500
157,92.0,12003,Pave,none,8,5,2009,2010,3,1968,TA,269500
158,100.0,12552,Pave,none,7,5,2004,2005,3,1947,TA,254900
159,134.0,19378,Pave,none,7,5,2005,2006,3,2462,TA,320000
160,none,11120,Pave,none,6,6,1984,1984,2,1232,TA,162500
161,110.0,13688,Pave,none,9,5,2003,2004,3,2668,TA,412500
162,95.0,12182,Pave,none,7,5,2005,2005,3,1541,TA,220000
163,55.0,5500,Pave,none,4,6,1956,1956,2,882,TA,103200
164,40.0,5400,Pave,Pave,6,7,1926,2004,2,1616,Gd,152000
165,62.0,10106,Pave,none,5,7,1940,1999,2,1355,Gd,127500
166,none,10708,Pave,none,5,5,1955,1993,3,1867,TA,190000
167,86.0,10562,Pave,none,8,5,2007,2007,3,2161,TA,325624
168,62.0,8244,Pave,none,7,5,2004,2004,3,1720,TA,183500
169,none,16669,Pave,none,8,6,1981,1981,3,1707,TA,228000
170,none,12358,Pave,none,5,6,1941,1950,2,1382,TA,128500
171,141.0,31770,Pave,none,6,5,1960,1960,2,1656,TA,215000
172,44.0,5306,Pave,none,7,7,1987,1987,3,1767,Gd,239000
173,80.0,10197,Pave,none,6,5,1961,1961,2,1362,TA,163000
174,47.0,12416,Pave,none,6,5,1986,1986,2,1651,TA,184000
175,84.0,12615,Pave,none,6,7,1950,2001,2,2158,TA,243000
176,97.0,10029,Pave,none,6,5,1988,1989,3,2060,TA,211000
177,none,13650,Pave,none,5,5,1958,1958,3,1920,Gd,172500
178,63.0,17423,Pave,none,9,5,2008,2009,4,2234,TA,501837
179,60.0,8520,Pave,none,5,6,1923,2006,3,968,TA,100000
180,none,2117,Pave,none,6,5,2000,2000,3,1525,TA,177000
181,54.0,7588,Pave,none,7,6,1920,1950,2,1802,TA,200100
182,60.0,9060,Pave,none,5,6,1957,2006,2,1340,TA,120000
183,63.0,11426,Pave,none,7,5,2003,2003,2,2082,TA,200000
184,92.0,7438,Pave,none,5,8,1908,1991,2,1252,TA,127000
185,90.0,22950,Pave,none,10,9,1892,1993,3,3608,Gd,475000
186,none,9947,Pave,none,7,5,1990,1991,2,1217,TA,173000
187,60.0,10410,Pave,none,5,7,1916,1987,2,1656,TA,135000
188,64.0,7018,Pave,none,5,5,1979,1979,2,1224,TA,153337
189,41.0,4923,Pave,none,8,5,2001,2002,3,1593,TA,286000
190,70.0,10570,Pave,none,8,8,1932,1994,3,2727,TA,315000
191,none,7472,Pave,none,7,9,1972,2004,2,1479,TA,184000
192,68.0,9017,Pave,none,7,5,1999,1999,3,1431,TA,192000
193,24.0,2522,Pave,none,7,5,2004,2004,3,1709,TA,130000
194,60.0,7180,Pave,none,5,7,1972,1972,2,864,TA,127000
195,24.0,2280,Pave,none,6,6,1976,1976,2,1456,TA,148500
196,79.0,9416,Pave,none,7,5,2007,2007,4,1726,TA,311872
197,174.0,25419,Pave,none,8,4,1918,1990,3,3112,Gd,235000
198,92.0,5520,Pave,none,6,6,1912,1950,2,2229,TA,104000
199,76.0,9591,Pave,none,8,5,2004,2005,3,1713,TA,274900
200,80.0,8546,Pave,none,4,5,2003,2004,2,1121,TA,140000
201,75.0,10125,Pave,none,6,6,1977,1977,2,1279,TA,171500
202,50.0,7000,Pave,none,6,6,1924,1950,2,1310,Gd,112000
203,none,4438,Pave,none,6,5,2004,2004,3,848,TA,149000
204,50.0,3500,Pave,Grvl,5,7,1947,1950,2,1284,TA,110000
205,99.0,11851,Pave,none,7,5,1990,1990,2,1442,TA,180500
206,40.0,13673,Pave,none,5,5,1962,1962,2,1696,Gd,143900
207,none,12493,Pave,none,4,5,1960,1960,2,1100,TA,141000
208,none,14364,Pave,none,7,5,1988,1989,3,2062,TA,277000
209,75.0,8250,Pave,none,6,7,1964,1964,2,1092,TA,145000
210,67.0,5604,Pave,none,5,6,1925,1950,2,864,TA,98000
211,83.0,10420,Pave,none,6,5,2009,2009,2,1212,TA,186000
212,72.0,8640,Pave,none,7,5,2009,2009,2,1852,TA,252678
213,43.0,13568,Pave,none,5,5,1995,1995,2,990,TA,156000
214,none,10900,Pave,none,6,7,1977,1977,2,1392,TA,161750
215,72.0,10011,Pave,none,5,6,1957,1996,2,1236,TA,134450
216,65.0,8450,Pave,none,7,5,2004,2004,3,1436,TA,210000
217,57.0,9906,Pave,Grvl,4,4,1925,1950,2,1328,TA,107000
218,none,15660,Pave,none,7,9,1939,2006,3,1954,Gd,311500
219,43.0,3010,Pave,none,7,5,2005,2006,3,1248,TA,167240
220,73.0,8990,Pave,none,7,5,2006,2006,3,1498,TA,204900
221,none,8068,Pave,none,6,5,2002,2002,3,2267,TA,200000
222,85.0,11475,Pave,none,6,6,1975,1975,2,1552,TA,179900
223,70.0,10500,Pave,none,4,6,1971,1971,2,864,TA,97000
224,103.0,13472,Pave,none,10,5,2003,2003,4,2392,TA,386250
225,21.0,1680,Pave,none,5,5,1971,1971,2,1302,TA,112000
226,82.0,9950,Pave,none,7,5,1995,1995,3,2520,TA,290000
227,21.0,1869,Pave,none,6,6,1970,1970,2,987,TA,106000
228,70.0,8521,Pave,none,5,5,1967,1967,2,912,TA,125000
229,43.0,3182,Pave,none,7,5,2005,2006,3,1555,TA,192500
230,73.0,8760,Pave,none,6,6,1959,1959,2,1194,TA,148000
231,174.0,15138,Pave,none,8,5,1995,1996,3,2794,TA,403000
232,21.0,1680,Pave,none,6,5,1972,1972,2,987,TA,94500
233,75.0,10650,Pave,none,5,6,1976,1976,2,894,TA,128200
234,none,7851,Pave,none,6,5,2002,2002,3,1960,TA,216500
235,21.0,1680,Pave,none,6,3,1971,1971,2,987,TA,89500
236,65.0,8773,Pave,none,7,5,2004,2004,3,1414,TA,185500
237,none,9453,Pave,none,7,7,1993,2003,3,1744,TA,194500
238,93.0,12030,Pave,none,8,5,2007,2007,4,1694,TA,318000
239,52.0,8741,Pave,none,6,4,1945,1950,2,1487,TA,113000
240,75.0,9000,Pave,none,8,5,2008,2008,3,1566,TA,262500
241,40.0,3880,Pave,none,5,9,1945,1997,2,866,Gd,110500
242,63.0,5000,Pave,none,5,4,1900,1950,2,1440,TA,79000
243,75.0,10762,Pave,none,6,6,1980,1980,2,1217,TA,120000
244,none,8880,Pave,none,7,5,1994,2002,3,2110,TA,205000
245,80.0,10400,Pave,none,7,5,1988,1988,2,1872,TA,241500
246,69.0,9142,Pave,Grvl,6,8,1910,1950,2,1928,Fa,137000
247,75.0,11310,Pave,none,6,5,1954,1954,2,1375,TA,140000
248,72.0,11317,Pave,none,7,5,2003,2003,3,1668,TA,180000
249,none,159000,Pave,none,6,7,1958,2006,3,2144,TA,277000
250,55.0,5350,Pave,none,3,2,1940,1966,2,1306,Po,76500
251,44.0,4750,Pave,none,8,5,2006,2007,3,1625,TA,235000
252,65.0,8366,Pave,none,6,5,2004,2004,3,1640,TA,173000
253,85.0,9350,Pave,none,6,7,1964,1991,2,1302,TA,158000
254,70.0,8400,Pave,none,5,6,1957,1957,2,1314,Gd,145000
255,66.0,8738,Pave,none,7,5,1999,1999,3,2291,TA,230000
256,64.0,8791,Pave,none,6,5,2003,2003,3,1728,TA,207500
257,68.0,8814,Pave,none,7,5,2006,2006,3,1604,TA,220000
258,80.0,12435,Pave,none,7,5,2001,2001,3,1792,TA,231500
259,70.0,12702,Pave,none,5,5,1956,1956,2,882,TA,97000
260,120.0,19296,Pave,none,6,5,1962,1962,2,1382,TA,176000
261,69.0,9588,Pave,none,8,5,2007,2007,3,2574,TA,276000
262,88.0,8471,Pave,none,6,7,1977,1995,2,1212,TA,151000
263,50.0,5500,Pave,none,5,7,1929,2001,2,1316,TA,130000
264,30.0,5232,Pave,Grvl,5,5,1925,2004,2,764,TA,73000
265,78.0,12090,Pave,none,6,6,1981,1981,2,1422,Gd,175500
266,70.0,11207,Pave,none,6,5,1997,1997,2,1511,TA,185000
267,60.0,8400,Pave,none,5,8,1939,1997,2,2192,TA,179500
268,71.0,6900,Pave,none,5,6,1940,1955,2,778,TA,120500
269,none,7917,Pave,none,6,7,1976,1976,2,1113,Gd,148000
270,84.0,10728,Pave,none,8,5,2006,2006,3,1939,TA,266000
271,73.0,39104,Pave,none,7,7,1954,2005,2,1363,TA,241500
272,92.0,11764,Pave,none,8,7,1999,2007,3,2270,TA,290000
273,80.0,9600,Pave,none,6,6,1958,1988,2,1632,TA,139000
274,76.0,8314,Pave,none,5,7,1982,1982,2,816,TA,124500
275,55.0,7264,Pave,none,7,7,1925,2007,3,1548,Gd,205000
276,129.0,9196,Pave,none,7,5,2003,2003,3,1560,TA,201000
277,140.0,19138,Pave,none,4,5,1951,1951,2,864,TA,141000
278,107.0,14450,Pave,none,9,5,2006,2007,4,2121,TA,415298
279,83.0,10005,Pave,none,7,5,1977,1977,2,2022,TA,192000
280,82.0,11287,Pave,none,7,6,1989,1989,3,1982,TA,228500
281,60.0,7200,Pave,Pave,6,5,2006,2006,3,1262,TA,185000
282,34.0,5063,Pave,none,7,5,2007,2008,3,1314,TA,207500
283,74.0,9612,Pave,none,8,5,2008,2009,3,1468,TA,244600
284,50.0,8012,Pave,none,6,5,1992,1992,3,1575,TA,179200
285,35.0,4251,Pave,Pave,7,5,2006,2007,3,1250,TA,164700
286,77.0,9786,Pave,none,6,7,1962,1981,2,1734,TA,159000
287,none,8125,Pave,none,4,4,1971,1971,2,858,TA,88000
288,none,9819,Pave,none,5,5,1967,1967,2,900,Gd,122000
289,60.0,8730,Pave,none,6,7,1915,2003,2,1396,TA,153575
290,120.0,15611,Pave,none,8,5,2006,2006,3,1919,TA,233230
291,55.0,5687,Pave,Grvl,5,6,1912,2000,2,1716,Fa,135900
292,60.0,11409,Pave,none,5,4,1949,2008,2,1716,TA,131000
293,none,16659,Pave,none,7,7,1977,1994,2,2263,TA,235000
294,80.0,9600,Pave,none,6,5,1953,1953,2,1644,TA,167000
295,37.0,7937,Pave,none,6,6,1984,1984,2,1003,TA,142500
296,75.0,13710,Pave,none,5,5,1950,1950,2,1558,TA,152000
297,66.0,7399,Pave,Pave,7,5,1997,1998,3,1950,TA,239000
298,90.0,11700,Pave,none,6,6,1968,1968,3,1743,TA,175000
299,80.0,14000,Pave,none,6,8,1950,2004,2,1152,Gd,158500
300,90.0,15750,Pave,none,5,5,1953,1953,2,1336,TA,157000
301,66.0,16226,Pave,none,8,5,1998,1999,3,2452,TA,267000
302,118.0,13704,Pave,none,7,5,2001,2002,3,1541,TA,205000
303,70.0,9800,Pave,none,5,7,1972,1972,2,894,TA,149900
304,87.0,18386,Pave,none,7,9,1880,2002,2,3493,TA,295000
305,80.0,10386,Pave,none,8,5,2004,2005,3,2000,TA,305900
306,116.0,13474,Pave,none,7,5,1990,1991,3,2243,TA,225000
307,none,7920,Pave,Grvl,6,7,1920,1950,2,1406,Fa,89500
308,none,12342,Pave,none,4,5,1940,1950,2,861,TA,82500
309,90.0,12378,Pave,none,9,5,2003,2004,3,1944,TA,360000
310,none,7685,Pave,none,6,5,1993,1994,2,1501,TA,165600
311,50.0,8000,Pave,none,6,6,1948,2002,2,972,Gd,132000
312,65.0,7800,Pave,none,5,7,1939,1950,2,1118,TA,119900
313,150.0,215245,Pave,none,7,5,1965,1965,2,2036,TA,375000
314,60.0,9600,Pave,Grvl,7,7,1925,1990,2,1641,TA,178000
315,71.0,7795,Pave,none,7,5,2004,2005,3,1432,TA,188500
316,94.0,13005,Pave,none,7,7,1980,1980,3,2353,TA,260000
317,75.0,9000,Pave,none,8,5,2006,2006,3,1959,TA,270000
318,90.0,9900,Pave,none,7,5,1993,1993,3,2646,TA,260000
319,none,14115,Pave,none,7,5,1980,1980,2,1472,TA,187500
320,111.0,16259,Pave,none,9,5,2006,2006,2,2596,TA,342643
321,99.0,12099,Pave,none,8,5,2004,2004,3,2468,TA,354000
322,86.0,10380,Pave,none,7,5,1986,1987,3,2730,TA,301000
323,49.0,5820,Pave,none,3,8,1955,2005,2,1163,Gd,126175
324,96.0,11275,Pave,none,7,7,1967,2007,3,2978,Gd,242000
325,50.0,5000,Pave,none,5,6,1941,1950,2,803,TA,87000
326,32.0,10846,Pave,none,8,5,1993,1993,3,1719,TA,324000
327,80.0,11600,Pave,none,6,5,1960,1960,2,1383,TA,145250
328,none,11888,Pave,Pave,6,6,1916,1994,2,2134,TA,214500
329,60.0,6402,Pave,none,5,5,1920,1950,2,1192,TA,78000
330,none,10624,Pave,none,5,4,1964,1964,2,1728,TA,119000
331,70.0,8176,Pave,none,5,6,1958,1992,2,1056,TA,139000
332,85.0,10655,Pave,none,8,5,2003,2004,3,1629,TA,284000
333,59.0,8198,Pave,none,7,5,2004,2004,3,1358,TA,207000
334,59.0,9042,Pave,none,6,5,1998,1998,2,1638,TA,192000
335,none,164660,Grvl,none,5,6,1965,1965,2,1786,TA,228950
336,86.0,14157,Pave,none,9,5,2005,2006,3,1922,TA,377426
337,70.0,9135,Pave,none,7,5,2002,2003,3,1536,TA,214000
338,91.0,14145,Pave,none,7,7,1984,1998,3,1621,TA,202500
339,66.0,12400,Pave,none,6,7,1958,1998,2,1215,TA,155000
340,85.0,14191,Pave,none,8,5,2002,2002,3,1908,TA,202900
341,60.0,8400,Pave,none,4,4,1950,1950,1,841,Fa,82000
342,none,8544,Pave,none,3,4,1949,1950,2,1040,TA,87500
343,63.0,8849,Pave,none,9,5,2005,2005,4,1684,TA,266000
344,36.0,2592,Pave,none,5,3,1976,1976,2,1112,TA,85000
345,65.0,6435,Pave,none,6,5,1939,1950,2,1577,TA,140200
346,none,12772,Pave,none,6,8,1960,1998,2,958,Gd,151500
347,none,17600,Pave,none,6,5,1960,1960,2,1478,TA,157500
348,36.0,2448,Pave,none,7,5,2003,2004,3,1626,TA,154000
349,56.0,20431,Pave,none,9,5,2005,2006,4,2728,TA,437154
350,68.0,7820,Pave,none,9,5,2007,2007,4,1869,TA,318061
351,none,5271,Pave,none,7,5,1986,1986,2,1453,TA,190000
352,60.0,9084,Pave,none,5,6,1941,1950,2,1111,TA,95000
353,60.0,8520,Pave,none,6,8,1928,2003,2,720,Gd,105900
354,60.0,8400,Pave,none,6,5,1940,2000,2,1595,TA,140000
355,105.0,11249,Pave,none,6,5,1995,1995,3,1200,Gd,177500
356,none,9248,Pave,none,6,6,1992,1992,2,1167,TA,173000
357,44.0,4224,Pave,none,5,5,1976,1976,2,1142,TA,134000
358,92.0,6930,Pave,none,5,4,1958,1958,2,1352,TA,130000
359,78.0,12011,Pave,none,8,5,1998,1998,3,1924,TA,280000
360,none,7540,Pave,none,6,6,1978,1978,2,912,TA,156000
361,none,9144,Pave,Pave,5,5,1940,1982,2,1505,TA,145000
362,64.0,7301,Pave,none,7,5,2003,2003,3,1922,TA,198500
363,21.0,1680,Pave,none,6,8,1972,2007,2,987,TA,118000
364,none,18800,Pave,none,6,5,1976,1976,2,1574,TA,190000
365,59.0,10690,Pave,none,5,7,1920,1997,2,1344,Gd,147000
366,none,9500,Pave,none,6,5,1963,1963,2,1394,TA,159000
367,101.0,9150,Pave,none,6,5,1962,1962,2,1431,TA,165000
368,78.0,7800,Pave,none,5,6,1954,1954,2,1268,TA,132000
369,none,9830,Pave,none,5,7,1959,2006,2,1287,Gd,162000
370,none,8121,Pave,none,6,5,2000,2000,2,1664,TA,172400
371,80.0,17120,Pave,none,4,4,1959,1959,2,1588,TA,134432
372,50.0,7175,Pave,none,6,5,1984,1984,2,752,TA,125000
373,79.0,10634,Pave,none,5,6,1953,1953,2,1319,TA,123000
374,65.0,8200,Pave,none,7,5,2003,2004,3,1928,TA,219500
375,none,10020,Pave,none,1,1,1922,1950,1,904,Fa,61000
376,57.0,8846,Pave,none,5,5,1996,1996,3,914,TA,148000
377,102.0,11143,Pave,none,8,5,2004,2005,3,2466,TA,340000
378,88.0,11394,Pave,none,9,2,2010,2010,3,1856,TA,394432
379,60.0,8123,Pave,none,6,5,2000,2000,2,1800,TA,179000
380,50.0,5000,Pave,Pave,5,6,1924,1950,2,1691,TA,127000
381,60.0,7200,Pave,Pave,7,5,2006,2006,3,1301,TA,187750
382,79.0,9245,Pave,none,7,5,2006,2006,3,1797,TA,213500
383,60.0,9000,Pave,none,6,3,1928,1950,2,784,TA,76000
384,none,53107,Pave,none,6,5,1992,1992,3,1953,TA,240000
385,43.0,3182,Pave,none,8,5,2004,2005,3,1269,TA,192000
386,58.0,8410,Pave,none,5,3,1910,1996,2,1184,Fa,81000
